Team,W,L,Pct,GB,Conf,Home,Away,L-10,Strk
Nets,20,8,0.714,,16-5,9-5,11-3,7-3,W3
Bulls,17,10,0.63,2.5,10-7,8-4,9-6,5-5,L2
Bucks,18,11,0.621,2.5,13-8,9-4,9-7,7-3,L1
Cavaliers,17,12,0.586,3.5,11-6,8-7,9-5,8-2,W4
Heat,16,12,0.571,4,10-6,8-4,8-8,4-6,L1
76ers,15,13,0.536,5,9-7,6-6,9-7,5-5,L1
Wizards,15,13,0.536,5,10-9,8-4,7-9,4-6,L2
Hornets,15,14,0.517,5.5,10-8,8-4,7-10,4-6,L1
Celtics,14,14,0.5,6,9-8,7-4,7-10,4-6,W1
Hawks,13,14,0.481,6.5,7-8,8-6,5-8,5-5,L2
Raptors,13,15,0.464,7,10-9,6-9,7-6,5-5,L1
Knicks,12,16,0.429,8,8-13,5-10,7-6,2-8,L4
Pacers,12,17,0.414,8.5,7-12,9-7,3-10,4-6,L1
Magic,5,23,0.179,15,2-16,2-8,3-15,1-9,L5
Pistons,4,22,0.154,15,3-13,2-11,2-11,0-10,L12
