Team,W,L,Pct,GB,Conf,Home,Away,L-10,Strk
Warriors,23,5,0.821,,12-3,14-2,9-3,7-3,W2
Suns,21,5,0.808,1,14-5,12-2,9-3,8-2,L1
Jazz,19,7,0.731,3,10-2,9-4,10-3,8-2,W7
Grizzlies,17,11,0.607,6,13-6,11-6,6-5,8-2,W3
Clippers,16,12,0.571,7,11-10,12-7,4-5,6-4,W4
Lakers,15,13,0.536,8,7-9,10-7,5-6,6-4,W2
Mavericks,14,13,0.519,8.5,11-6,7-6,7-7,4-6,W2
Nuggets,14,13,0.519,8.5,8-7,8-4,6-9,5-5,W2
Timberwolves,12,15,0.444,10.5,8-9,7-9,5-6,4-6,W1
Trail Blazers,11,14,0.407,11.5,6-12,10-5,1-11,2-8,L5
Kings,11,15,0.393,12,8-11,5-8,6-9,5-5,L3
Spurs,10,16,0.385,12,5-12,6-8,4-8,6-4,W1
Rockets,9,17,0.333,13.5,4-13,7-6,2-12,8-2,W1
Thunder,8,23,0.308,14,6-11,4-9,4-9,2-8,L2
Pelicans,8,22,0.276,15.5,6-13,4-9,4-12,5-5,L1
